# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	88
#@/user_id	43871507-6890-4843-8e9f-91bba8ad7d3a
a1 	阿	c=1 d=1 t=41
ai1 	哎	c=1 d=1 t=67
ba2 	拔	c=1 d=1 t=84
ban4 	辦	c=0 d=0.1 t=43
bei4 ta1 	被他	c=0 d=0.1 t=60
bian1 	邊	c=0 d=0.1 t=73
bo1 	播	c=1 d=1 t=54
ce4 shi4 	測試	c=0 d=0.328985 t=84
ce4 shi4 zhang4 hao4 	測試帳號	c=2 d=1.99501 t=17
cheng2 li4 	成立	c=0 d=0.1 t=74
chong2 	重	c=1 d=1 t=53
chong2 xin1 an1 zhuang1 	重新安裝	c=1 d=1 t=3
dai4 	帶	c=0 d=0.1 t=22
dao4 lao3 	到老	c=0 d=0.1 t=61
dao4 lao3 le5 	到老了	c=1 d=1 t=62
dao4 zhang3 	道長	c=0 d=0.1 t=58
de5 	的	c=0 d=0.18825 t=82
de5 dian4 ying3 	的電影	c=1 d=1 t=58
de5 shi2 hou4 	的時候	c=0 d=0.1 t=74
de5 shi2 hou4 cheng2 li4 ding4 dan1 	的時候成立訂單	c=1 d=1 t=75
deng3 	等	c=0 d=0.1 t=20
deng3 deng3 	等等	c=0 d=0.1 t=14
deng3 deng3 hui4 lai2 	等等會來	c=1 d=1 t=15
deng3 ta1 guo4 lai2 	等他過來	c=1 d=1 t=21
dian4 ying3 	電影	c=0 d=0.1 t=57
ding4 dan1 	訂單	c=0 d=0.1 t=74
dou1 	都	c=1 d=1.17195 t=70
dou1 ke3 yi3 	都可以	c=0 d=0.1 t=42
dou1 kuai4 	都快	c=0 d=0.1 t=60
dou1 kuai4 bei4 ta1 zhui1 	都快被他追	c=1 d=1 t=61
dui4 	對	c=1 d=1 t=14
dun4 	頓	c=2 d=1.99501 t=19
en1 en1 	恩恩	c=1 d=1 t=45
gang1 cai2 	剛纔	c=0 d=0.1 t=23
gang1 cai2 wang4 ji4 wen4 le5 	剛纔忘記問了	c=1 d=1 t=24
gao1 zhao1 	高招	c=1 d=1 t=36
gei3 	給	c=0 d=0.1 t=86
gei3 zi4 ji3 	給自己	c=1 d=1 t=87
guo4 qu4 	過去	c=0 d=0.1 t=27
ha1 	哈	c=1 d=1 t=86
hai2 ke3 yi3 	還可以	c=0 d=0.1 t=65
hai2 ke3 yi3 la5 	還可以啦	c=1 d=1 t=66
han4 	和	c=1 d=1 t=80
hao3 	好	c=1 d=1 t=20
hao3 le5 	好了	c=0 d=0.1 t=41
hou4 xuan3 	候選	c=2 d=1.99005 t=7
hui4 lai2 	會來	c=0 d=0.1 t=14
ji1 qi4 	機器	c=0 d=0.1 t=77
jia1 	家	c=0 d=0.1 t=36
jia1 shang4 	加上	c=1 d=1.1 t=39
jiang1 shi1 	殭屍	c=0 d=0.1 t=58
